Country 	Refugees	Locations
Afghanistan	1384141	AFG
Albania	8573	ALB
Algeria	142746	DZA
Argentina	16818	ARG
Armenia	53722	ARM
Aruba	13822	ABW
Australia	78425	AUS
Austria	745	AUT
Azerbaijan	634089	AZE
Bahamas	635	BHM
Bahrain	0	BHR
Bangladesh	250341	BGD
Barbados	20524	BRB
Belarus	7477	BLR
Belgium	483	BEL
Belize	13	BLZ
Benin	1845	BEN
Bolivia (Plurinational State of)	6288	BOL
Bosnia and Herzegovina	91374	BIH
Botswana	3388	BWA
Brazil	45384	BRA
Brunei Darussalam	2847	BRN
Bulgaria	353	BGR
Burkina Faso	30249	BFA
Burundi	172775	BDI
Côte d'Ivoire	740786	CIV
Cabo Verde	23718	CPV
Cambodia	0	KHM
Cameroon	273151	CMR
Canada	81459	CAN
Cayman Islands	7638	CYM
Central African Rep.	1079814	CAF
Chad	492377	TCD
Chile	11	CHL
China	302396	CHN
"China, Hong Kong SAR"	5	HKG
"China, Macao SAR"	3048	MAC
Colombia	6044573	COL
Congo	59099	COD
Costa Rica	22	CRI
Croatia	19809	HRV
Cuba	343	CUB
Curaçao	8	CUW
Cyprus	5119	CYP
Czech Rep.	455081	CZE
Dem. Rep. of the Congo	3616451	COG
Denmark	1354	DNK
Djibouti	49430	DJI
Dominican Rep.	90000	DMA
Ecuador	199	ECU
Egypt	261674	EGY
El Salvador	44591	SLV
Eritrea	16381	ERI
Estonia	10000	EST
Ethiopia	654906	ETH
Fiji	249414	FJI
Finland	22	FIN
France	12	FRA
Gabon	2871	GAB
Gambia	268	GMB
Georgia	265624	GEO
Germany	1739	DEU
Ghana	21169	GHA
Greece	273	GRC
Guatemala	12	GTM
Guinea	20533	GIN
Guinea-Bissau	50971	GNB
Guyana	2419	GUY
Haiti	18675	HTI
Honduras	32	HND
Hungary	60	HUN
Iceland	45284	ISL
India	150532	IND
Indonesia	76180	IDN
Iran (Islamic Rep. of)	60984	IRN
Iraq	4026842	IRQ
Ireland	305	IRL
Israel	140277	ISR
Italy	22	ITA
Jamaica	11315	JAM
Japan	*	JPN
Jordan	674106	JOR
Kazakhstan	59023	KAZ
Kenya	554137	KEN
Kuwait	138340	KWT
Kyrgyzstan	12882	KGZ
Latvia	6	LVA
Lebanon	1030625	LBN
Lesotho	48	LSO
Liberia	46235	LBR
Libya	392035	LBY
Liechtenstein	2430	LIE
Lithuania	6310	LTU
Luxembourg	263224	LUX
Madagascar	1295	MDG
Malawi	80000	MWI
Malaysia	192884	MYS
Mali	237118	MLI
Malta	988500	MLT
Mauritania	47511	MRT
Mexico	7	MEX
Monaco	2520	MCO
Mongolia	171	MNG
Montenegro	20733	MNE
Morocco	33	MRAR
Mozambique	66616	MOZ
Myanmar	98122	MMR
Namibia	4159	NAM
Nauru	1619	NIU
Nepal	35459	NPL
Netherlands	56220	NLD
New Zealand	382	NZL
Nicaragua	91725	NIC
Niger	146728	NER
Nigeria	1189149	NGA
Norway	4675	NOR
Oman	3754	OMN
Pakistan	2959132	PAK
Palau	9910	PLW
Panama	20260	PAN
Papua New Guinea	85	PNG
Paraguay	1421	PRY
Peru	1171	PER
Philippines	246737	PHL
Poland	28914	POL
Portugal	166	PRT
Qatar	2841	QAT
Rep. of Korea	99500	KOR
Rep. of Moldova	20	MDV
Romania	120589	ROU
Russian Federation	6395	RUS
Rwanda	145688	RWA
Saint Kitts and Nevis	0	KNA
Saint Lucia	173	LCA
Saudi Arabia	71284	SAU
Senegal	17158	SEN
Serbia and Kosovo (S/RES/1244 (1999))	262775	SRB
Sierra Leone	1377	SLE
Singapore	0	SGP
Sint Maarten (Dutch part)	1388000	SXM
Slovenia	226488	SVK
Solomon Islands	45	SLB
Somalia	1145600	SOM
South Africa	17235	ZAF
South Sudan	2053489	SSD
Spain	88261	ESP
Sri Lanka	30784	LKA
Sudan	2428121	SDN
Suriname	26763	SUR
Swaziland	348	SWZ
Sweden	452	SWE
Switzerland	2346	CHE
Syrian Arab Rep.	6399663	SYR
Tajikistan	1500	TJK
Thailand	630735	THA
The former Yugoslav Republic of Macedonia	57693	MCA
Timor-Leste	170	TLS
Togo	29233	TGO
Trinidad and Tobago	879	TTO
Tunisia	1920	TUN
Turkey	1742751	TUR
Turkmenistan	7547	TKM
Turks and Caicos Islands	21801	TKM
Uganda	1415635	UGA
Ukraine	328	UKR
United Arab Emirates	4359	ARE
United Rep. of Tanzania	255883	TZA
Uruguay	8	URY
Uzbekistan	47820	UZB
Vanuatu	1749	VUT
Venezuela (Bolivarian Republic of)	134241	VEN
Viet Nam	0	VNM
Yemen	1260592	YEM
Zambia	40953	ZMB
Zimbabwe	1198	ZWE
